area,orientation,decoration,floor,building_type,price,price_per_m,position,followers,publish_time,rooms
162.61,南,简装,顶层(共11层),板楼,579.0,35607.0,武夷花园,34,90,5
93.29,南 北,精装,顶层(共11层),板楼,340.0,36446.0,马驹桥,28,150,5
90.61,南 北,精装,低楼层(共16层) ,板楼,539.0,59486.0,九棵树(家乐福),29,150,5
98.86,南 北,简装,中楼层(共6层) ,板楼,345.0,34898.0,临河里,8,30,4
91.4,南 北,精装,高楼层(共18层),板楼,546.0,59738.0,万达,27,90,4
104.89,南 北,简装,中楼层(共6层) ,板楼,270.0,25742.0,潞苑,23,120,3
96.35,南 北,其他,中楼层(共15层),板楼,348.0,36119.0,梨园,4,90,3
91.66,东 西,精装,中楼层(共6层) ,板楼,269.0,29348.0,北关,15,30,3
104.85,南 北,简装,高楼层(共6层) ,板楼,210.0,20029.0,潞苑,8,20,4
97.42,南,精装,高楼层(共9层),板楼,375.0,38494.0,果园,11,6,3
153.34,南 北,精装,中楼层(共5层) ,板楼,459.0,29934.0,马驹桥,2,9,5
98.91,南 北,简装,顶层(共6层),板楼,259.0,26186.0,梨园,15,30,3
93.27,东 南 北,简装,18层,板楼,425.0,45567.0,武夷花园,41,150,3
103.78,南 北,简装,低楼层(共6层),板楼,369.0,35556.0,北关,32,150,4
104.31,南 北,精装,高楼层(共26层),板楼,425.0,40744.0,通州北苑,6,25,5
155.05,南 北,精装,高楼层(共16层),板塔结合,610.0,39343.0,通州北苑,56,180,5
101.04,南 北,精装,顶层(共10层) ,板楼,556.0,55028.0,九棵树(家乐福),12,120,4
101.99,南,简装,底层(共10层),板塔结合,470.0,46083.0,武夷花园,35,60,4
95.98,南 北,简装,中楼层(共28层) ,板塔结合,319.0,33237.0,潞苑,4,17,3
104.0,南 北,简装,底层(共6层) ,板楼,120.0,11539.0,通州其它,17,30,5
98.9,南 北,简装,中楼层(共5层) ,板楼,318.0,32154.0,梨园,3,21,3
92.13,南 北,精装,低楼层(共20层),板楼,378.0,41029.0,临河里,15,60,3
90.32,南 北,精装,32层,板楼,370.0,40966.0,武夷花园,22,30,4
97.72,南 北,简装,低楼层(共18层),板楼,305.0,31212.0,果园,16,30,3
99.34,南 北,简装,高楼层(共6层) ,板楼,346.0,34830.0,乔庄,2,330,5
100.58,西南,精装,低楼层(共16层),板楼,468.0,46531.0,临河里,3,15,4
95.35,南 北,精装,顶层(共11层) ,板楼,119.0,12481.0,通州其它,13,60,4
92.76,南 北,简装,顶层(共6层) ,板楼,229.0,24688.0,万达,6,365,4
96.25,南,精装,14层,板楼,235.0,24416.0,马驹桥,9,60,3
102.09,南 北,精装,底层(共7层),板楼,372.0,36439.0,果园,31,60,3
95.22,南 北,简装,高楼层(共6层),板楼,359.0,37703.0,九棵树(家乐福),18,365,3
96.36,南 北,精装,高楼层(共6层) ,板楼,300.0,31134.0,果园,11,90,4
91.4,南,精装,27层,板楼,538.0,58863.0,九棵树(家乐福),1,210,3
92.25,东 西 北,精装,低楼层(共6层),板楼,269.0,29160.0,万达,3,7,4
90.49,南 北,简装,中楼层(共7层),板楼,315.0,34811.0,果园,83,120,3
97.29,南 北,简装,低楼层(共6层) ,板楼,326.0,33509.0,乔庄,4,120,4
91.95,南 北,精装,中楼层(共21层) ,板楼,320.0,34802.0,潞苑,11,30,4
157.61,南 北,毛坯,3层,板楼,288.0,18273.0,通州其它,48,180,4
91.32,东 西,精装,14层,板楼,211.0,23106.0,马驹桥,3,15,3
93.54,南 北,简装,中楼层(共10层) ,板楼,379.0,40518.0,通州北苑,19,23,4
103.5,南 北,简装,低楼层(共7层) ,板楼,299.0,28889.0,北关,12,30,4
90.57,南 北,简装,高楼层(共21层),板塔结合,317.0,35001.0,潞苑,5,12,4
100.21,南 北,简装,中楼层(共6层),板楼,366.0,36524.0,万达,25,60,5
96.21,南 北,精装,中楼层(共7层) ,板楼,328.0,34093.0,果园,14,60,4
91.74,南 北,简装,中楼层(共10层) ,板楼,419.0,45673.0,通州北苑,21,120,4
104.52,南 北,简装,中楼层(共6层) ,板楼,375.0,35879.0,北关,39,90,4
94.6,南,简装,10层,板塔结合,550.0,58140.0,武夷花园,11,19,4
93.16,南 北,精装,高楼层(共10层),板塔结合,345.0,37034.0,潞苑,2,30,3
98.22,南,简装,中楼层(共9层) ,板塔结合,349.0,35533.0,潞苑,5,25,4
91.88,南 北,其他,6层,板楼,226.0,24598.0,马驹桥,10,365,3
96.69,南 北,简装,高楼层(共7层),板楼,345.0,35682.0,果园,2,60,3
166.52,南 北,精装,高楼层(共31层) ,板楼,865.0,51946.0,九棵树(家乐福),22,365,5
179.22,南 北,其他,高楼层(共6层),板楼,730.0,40733.0,通州其它,11,210,4
103.24,南 北,简装,中楼层(共6层),板楼,209.0,20245.0,通州其它,3,30,3
92.78,南 北,其他,低楼层(共8层) ,板楼,315.0,33952.0,通州其它,4,270,4
93.09,南 北,简装,6层 ,板楼,295.0,31690.0,果园,7,120,4
91.64,南 北,简装,中楼层(共9层) ,板楼,378.0,41249.0,九棵树(家乐福),17,270,3
91.07,南 北,简装,中楼层(共14层),板楼,367.0,40299.0,临河里,8,240,3
99.34,南 北,精装,中楼层(共6层) ,板楼,355.0,35736.0,乔庄,8,180,5
92.19,南 北,精装,高楼层(共9层),板楼,385.0,41762.0,九棵树(家乐福),4,90,3
108.64,南 北,简装,中楼层(共6层) ,板楼,368.0,33874.0,玉桥,4,150,4
101.04,南 北,其他,顶层(共6层),板楼,300.0,29692.0,梨园,2,120,3
90.58,南 北,精装,高楼层(共6层),板楼,280.0,30912.0,梨园,3,240,3
94.57,南 北,精装,高楼层(共11层),板楼,383.0,40500.0,九棵树(家乐福),2,30,3
95.21,南 北,简装,高楼层(共6层),板楼,308.0,32350.0,九棵树(家乐福),2,90,4
90.19,南 北,精装,高楼层(共6层) ,板楼,185.0,20513.0,通州其它,2,270,3
95.99,东 西南,精装,高楼层(共21层),板塔结合,348.0,36254.0,梨园,19,240,3
97.23,西北,精装,高楼层(共28层),塔楼,435.0,44740.0,武夷花园,0,30,3
94.37,南 北,其他,顶层(共6层) ,板楼,248.0,26280.0,北关,2,270,3
92.67,东 北,精装,低楼层(共9层) ,板塔结合,375.0,40467.0,潞苑,7,365,3
103.11,南,精装,高楼层(共11层),板塔结合,460.0,44613.0,乔庄,16,365,3
90.32,南,精装,高楼层(共6层) ,板楼,353.0,39084.0,武夷花园,13,210,3
107.56,南 北,其他,顶层(共21层),板楼,345.0,32076.0,潞苑,4,90,4
151.95,南,精装,高楼层(共28层) ,板塔结合,1190.0,78316.0,武夷花园,10,240,5
103.38,南 北,精装,中楼层(共8层),板楼,329.0,31825.0,通州其它,19,330,5
168.51,南 北,其他,高楼层(共6层),板楼,615.0,36497.0,通州其它,7,180,4
165.76,南 北,其他,高楼层(共6层),板楼,540.0,32578.0,果园,14,270,5
101.04,南 北,简装,高楼层(共6层),板楼,320.0,31671.0,梨园,4,270,4
101.27,南 北,简装,中楼层(共7层),板楼,405.0,39993.0,果园,4,120,4
90.14,南 北,简装,顶层(共6层) ,板楼,289.0,32062.0,潞苑,2,365,3
107.25,南 北,简装,顶层(共6层),板楼,465.0,43357.0,武夷花园,5,365,4
93.41,东 西,简装,底层(共9层),板塔结合,336.0,35971.0,潞苑,0,90,3
168.51,南 北,精装,高楼层(共6层),板楼,695.0,41244.0,通州其它,6,120,4
95.6,南 北,精装,顶层(共6层) ,板楼,168.0,17574.0,通州其它,4,180,3
90.18,南 北,简装,高楼层(共6层),板楼,295.0,32713.0,梨园,9,210,4
92.49,南 北,精装,中楼层(共6层),板楼,189.0,20435.0,通州其它,3,330,3
156.81,南 西 北,精装,中楼层(共5层) ,板楼,570.0,36350.0,马驹桥,4,150,4
97.76,南 北,精装,顶层(共4层) ,板楼,210.0,21482.0,通州其它,5,270,4
96.12,南 北,精装,顶层(共9层),板塔结合,370.0,38494.0,潞苑,28,365,3
94.43,南,其他,低楼层(共15层) ,板楼,389.0,41195.0,梨园,24,270,4
109.78,南,精装,中楼层(共31层),板楼,620.0,56477.0,九棵树(家乐福),36,365,3
105.33,南 北,简装,低楼层(共12层),板塔结合,440.0,41774.0,九棵树(家乐福),6,90,4
90.88,东 南 北,简装,低楼层(共27层),板塔结合,538.0,59199.0,万达,11,120,3
102.83,北 南,精装,底层(共7层) ,板楼,498.0,48430.0,果园,18,365,4
91.27,南 北,精装,低楼层(共23层) ,板楼,565.0,61905.0,九棵树(家乐福),5,90,3
97.05,南 北,简装,中楼层(共12层),板楼,419.0,43174.0,临河里,3,120,3
103.89,南 北,精装,高楼层(共6层),板楼,450.0,43316.0,武夷花园,11,120,5
157.34,南 北,精装,低楼层(共32层),板楼,830.0,52753.0,武夷花园,32,365,5
160.54,南 西 北,精装,中楼层(共24层),板楼,990.0,61667.0,武夷花园,25,210,4
102.18,南 北,其他,高楼层(共8层) ,板楼,350.0,34254.0,通州其它,1,90,4
94.55,南 北,简装,顶层(共12层),板楼,375.0,39662.0,潞苑,33,365,3
95.48,南 北,简装,中楼层(共10层),板塔结合,350.0,36657.0,潞苑,5,30,3
99.3,南 北,精装,中楼层(共5层),板楼,315.0,31723.0,九棵树(家乐福),10,210,4
163.01,南 北,其他,底层(共8层) ,板楼,550.0,33741.0,通州其它,22,365,5
103.43,南 北,精装,中楼层(共6层) ,板楼,380.0,36740.0,九棵树(家乐福),8,150,4
155.71,南 北,简装,底层(共26层),板塔结合,750.0,48167.0,武夷花园,18,365,4
95.41,南,精装,中楼层(共10层) ,板塔结合,393.0,41191.0,潞苑,28,365,3
92.89,南 北,其他,6层,板楼,229.0,24653.0,马驹桥,13,365,4
98.32,南 北,简装,底层(共14层),板楼,330.0,33564.0,临河里,17,300,3
