area,orientation,decoration,floor,building_type,price,price_per_m,position,followers,publish_time,rooms
102.01,南 北,其他,中楼层(共6层) ,板楼,320.0,31370.0,怀柔,0,30,4
158.75,南 北,精装,顶层(共5层) ,板楼,455.0,28662.0,怀柔,6,90,5
102.88,南,精装,高楼层(共6层) ,板楼,240.0,23329.0,怀柔,3,210,4
100.99,南 北,精装,高楼层(共6层) ,板塔结合,270.0,26736.0,怀柔,0,30,5
103.32,南 北,精装,顶层(共8层),板楼,233.0,22552.0,怀柔,2,270,3
95.15,南 北,简装,中楼层(共6层),板楼,385.0,40463.0,怀柔,6,180,4
90.48,南 北,简装,中楼层(共6层) ,板楼,210.0,23210.0,怀柔,8,365,4
94.74,东 西,简装,中楼层(共7层) ,板楼,235.0,24805.0,怀柔,0,365,4
108.76,南 北,简装,底层(共6层) ,板楼,259.0,23814.0,怀柔,10,365,4
102.98,南 北,简装,高楼层(共6层),板楼,228.0,22141.0,怀柔,4,365,4
93.16,南 北,简装,1层 ,板楼,225.0,24152.0,怀柔其它,19,270,3
93.66,南 北,其他,中楼层(共11层) ,板楼,186.0,19860.0,怀柔,2,300,4
95.95,南 北,简装,中楼层(共6层) ,板楼,218.0,22721.0,怀柔,13,365,4
108.54,南 西 北,其他,顶层(共5层) ,板楼,209.0,19256.0,怀柔,4,365,5
90.99,南 北,其他,中楼层(共6层) ,板楼,236.0,25937.0,怀柔,0,30,3
90.03,南 北,简装,高楼层(共6层) ,板楼,200.0,22215.0,怀柔,2,210,4
163.55,东 西,其他,中楼层(共4层) ,塔楼,400.0,24458.0,怀柔,0,150,4
96.8,南 北,其他,底层(共6层),板楼,218.0,22521.0,怀柔,7,365,4
96.8,南 北,精装,低楼层(共6层),板楼,240.0,24794.0,怀柔,8,365,3
95.7,东 南 北,精装,底层(共5层) ,板楼,205.0,21422.0,怀柔,1,6,4
96.72,南 北,精装,顶层(共6层) ,板楼,195.0,20162.0,怀柔,3,180,3
95.7,东 西,其他,高楼层(共6层) ,板楼,199.0,20795.0,怀柔,2,300,4
105.09,南 北,精装,高楼层(共6层) ,板楼,235.0,22362.0,怀柔,1,365,5
195.1,南 北,其他,底层(共8层) ,板楼,430.0,22040.0,怀柔,10,365,5
155.11,南 北,精装,中楼层(共25层) ,板楼,580.0,37393.0,怀柔,5,365,5
91.67,南 北,其他,顶层(共6层) ,板楼,180.0,19636.0,怀柔,1,240,4
99.33,南 北,其他,低楼层(共6层),板楼,320.0,32216.0,怀柔,1,30,4
93.66,南 北,其他,中楼层(共11层) ,板楼,185.0,19753.0,怀柔,0,300,4
92.81,南 北,精装,低楼层(共6层) ,板楼,260.0,28015.0,怀柔,2,365,4
101.07,南 北,其他,底层(共6层),板楼,240.0,23746.0,怀柔,1,30,5
101.82,南 北,其他,低楼层(共6层) ,板楼,280.0,27500.0,怀柔,1,210,4
93.4,北 南,简装,高楼层(共6层) ,板楼,186.0,19915.0,怀柔,0,120,3
96.78,南 北,其他,顶层(共6层),板楼,255.0,26349.0,怀柔,0,270,5
92.42,南 北,其他,顶层(共6层) ,板楼,165.0,17854.0,怀柔,0,23,4
109.98,南 北,精装,低楼层(共6层) ,板楼,350.0,31824.0,怀柔,1,365,4
95.66,南 北,简装,顶层(共6层) ,板楼,188.0,19653.0,怀柔,0,90,4
92.27,南 北,简装,底层(共6层) ,板楼,270.0,29262.0,怀柔,3,90,4
92.77,南 北,其他,高楼层(共6层) ,板楼,259.0,27919.0,怀柔,0,120,4
97.21,南 北,其他,低楼层(共3层) ,板楼,190.0,19546.0,怀柔,4,120,4
100.11,南 北,简装,中楼层(共6层) ,板楼,248.0,24773.0,怀柔,3,30,4
100.09,南 北,其他,高楼层(共6层) ,板楼,238.0,23779.0,怀柔,0,19,5
95.27,南 北,其他,高楼层(共6层) ,板塔结合,265.0,27816.0,怀柔,3,365,4
108.48,南 北,其他,顶层(共6层),板楼,260.0,23968.0,怀柔,1,300,5
100.68,南,其他,低楼层(共18层) ,板楼,345.0,34267.0,怀柔,9,240,3
90.92,南 北,简装,顶层(共5层),板楼,185.0,20348.0,怀柔,1,120,3
102.9,南 北,精装,中楼层(共15层),板楼,290.0,28183.0,怀柔,0,330,4
109.02,南 北,其他,高楼层(共6层) ,板塔结合,280.0,25684.0,怀柔,0,270,5
93.26,南 北,其他,高楼层(共7层),板楼,163.0,17479.0,怀柔,14,120,4
163.83,南 北,其他,底层(共5层),板楼,370.0,22585.0,怀柔,3,365,5
98.72,南 北,简装,顶层(共6层) ,板楼,285.0,28870.0,怀柔,2,330,4
99.84,南 北,其他,高楼层(共9层),板楼,345.0,34556.0,怀柔,7,365,3
102.5,南 北,精装,顶层(共9层) ,板楼,430.0,41952.0,怀柔,20,365,3
105.58,南 北,简装,底层(共6层),板楼,320.0,30309.0,怀柔,7,365,4
98.13,南 北,简装,顶层(共6层),板楼,196.0,19974.0,怀柔,3,180,5
104.78,南 北,简装,中楼层(共7层) ,板楼,248.0,23669.0,怀柔,3,240,5
152.46,南 北,其他,中楼层(共8层) ,未知,350.0,22957.0,怀柔,7,30,5
155.48,南 北,其他,中楼层(共5层),板楼,210.0,13507.0,怀柔,3,60,5
