area,orientation,decoration,floor,building_type,price,price_per_m,position,followers,publish_time,rooms
179.48,南 北,精装,高楼层(共16层),塔楼,2080,115891.0,和平里,65,150.0,4
100.82,西,简装,11层 ,塔楼,720,71415.0,永定门,8,30.0,3
102.8,南,其他,11层 ,板楼,950,92413.0,永定门,13,28.0,4
98.71,南 北,简装,低楼层(共10层) ,板塔结合,960,97255.0,安定门,19,30.0,4
92.32,东 南 西南,精装,低楼层(共13层) ,板楼,958,103770.0,崇文门,21,60.0,4
90.94,东,精装,中楼层(共6层) ,板楼,1098,120739.0,东花市,52,150.0,3
156.51,南 北,精装,高楼层(共20层) ,板塔结合,1560,99675.0,和平里,20,60.0,5
97.11,西南 北,简装,中楼层(共16层) ,板塔结合,1100,113274.0,和平里,0,1.0,3
97.94,南 北,精装,中楼层(共14层) ,板楼,1100,112314.0,东直门,15,27.0,4
92.68,东 西,简装,中楼层(共21层) ,板塔结合,888,95814.0,安贞,4,10.0,4
96.8,东 西,简装,高楼层(共12层) ,板塔结合,760,78513.0,永定门,23,330.0,3
102.54,东北,精装,中楼层(共23层),板楼,1100,107276.0,广渠门,19,180.0,4
173.01,东北,精装,低楼层(共31层) ,板楼,1150,66471.0,东直门,9,150.0,4
102.44,西,简装,中楼层(共21层) ,塔楼,998,97423.0,安贞,7,30.0,3
68.21,南 北,简装,底层(共5层) ,板楼,788,115526.0,和平里,32,240.0,4
73.69,南 北,精装,中楼层(共5层) ,板楼,760,103135.0,和平里,44,90.0,4
121.69,东,精装,中楼层(共20层),板楼,1098,90230.0,和平里,21,120.0,3
69.81,东 西 北,毛坯,底层(共8层) ,板楼,790,113165.0,和平里,3,30.0,3
156.01,东 南 西,其他,底层(共4层) ,板楼,1599,102494.0,左安门,4,6.0,5
197.69,东南,精装,16层,塔楼,1180,59690.0,崇文门,11,120.0,5
91.44,西北,精装,高楼层(共12层),板塔结合,810,88583.0,永定门,65,365.0,4
92.23,东北,简装,高楼层(共18层),板楼,680,73729.0,左安门,26,365.0,3
102.13,南 北,精装,中楼层(共12层) ,板塔结合,1268,124156.0,崇文门,7,30.0,3
188.35,南 北,简装,底层(共8层) ,板楼,2167,115052.0,东直门,13,90.0,5
91.17,南 北,精装,顶层(共6层) ,板楼,849,93123.0,朝阳门内,8,150.0,4
99.23,东南,精装,中楼层(共18层) ,塔楼,860,86668.0,广渠门,7,90.0,3
196.46,东 西,精装,中楼层(共14层),塔楼,1498,76250.0,东花市,0,21.0,5
163.25,南 北,精装,中楼层(共11层) ,板楼,2160,132313.0,东花市,61,365.0,5
160.61,南 北,其他,中楼层(共15层) ,板楼,2150,133865.0,崇文门,15,120.0,5
90.4,南 北,其他,高楼层(共6层),板楼,970,107301.0,朝阳门内,5,30.0,4
91.78,西北,简装,中楼层(共18层),板楼,690,75180.0,左安门,6,30.0,3
99.5,南,精装,低楼层(共15层) ,板楼,1400,140704.0,崇文门,14,27.0,3
163.63,南 北,精装,底层(共10层) ,板楼,2100,128339.0,崇文门,19,30.0,4
96.37,南 北,精装,顶层(共6层) ,板楼,1108,114974.0,安定门,6,29.0,4
94.83,南 北,其他,中楼层(共6层) ,板楼,1170,123379.0,朝阳门内,10,120.0,4
98.37,西,简装,18层 ,塔楼,640,65061.0,永定门,27,30.0,3
102.39,东,精装,高楼层(共14层),板塔结合,950,92783.0,左安门,5,26.0,4
162.1,南,精装,高楼层(共14层) ,板塔结合,2190,135102.0,工体,15,30.0,4
104.77,南 北,简装,中楼层(共6层) ,板楼,1018,97166.0,东直门,29,120.0,4
98.19,北 南,其他,高楼层(共13层) ,板塔结合,1199,122111.0,崇文门,8,180.0,3
99.01,南,简装,中楼层(共16层) ,塔楼,968,97768.0,安定门,19,120.0,3
104.4,南 北,简装,中楼层(共7层) ,板楼,1025,98181.0,和平里,2,30.0,3
100.09,南 北,精装,底层(共6层) ,板楼,1350,134879.0,安定门,2,14.0,3
