title,house_type,area,orientation,decoration,floor,year_built,building_type,price,price_per_m,position,followers,publish_time
东环居苑 ,3室1厅,99.52,西北,精装,中楼层(共22层) ,暂无数据,塔楼,959,96363.0,广渠门,15人关注,10个月以前发布
海晟名苑北区 ,2室1厅,95.78,西,精装,17层,2007年,板塔结合,998,104198.0,工体,11人关注,1个月以前发布
新怡家园 ,2室2厅,100.57,南 北,精装,底层(共13层) ,暂无数据,板楼,1450,144179.0,崇文门,18人关注,4个月以前发布
定安里 ,3室1厅,96.59,南 北,其他,中楼层(共4层) ,暂无数据,板楼,650,67295.0,永定门,1人关注,3天以前发布
冠城名敦道A区 ,2室1厅,93.27,西,精装,23层,2010年,塔楼,549,58862.0,广渠门,24人关注,一年前发布
东四块玉南街 ,2室1厅,97.87,南 北,精装,底层(共6层),1998年,板楼,900,91959.0,左安门,3人关注,1个月以前发布
新景家园东区 ,2室1厅,107.76,南 北,精装,中楼层(共13层) ,暂无数据,板塔结合,1320,122495.0,崇文门,45人关注,一年前发布
禾风相府 ,3室2厅,163.83,南 北,精装,中楼层(共14层) ,暂无数据,板塔结合,2480,151377.0,金宝街,19人关注,4个月以前发布
和平新城一期 ,3室2厅,152.14,东 南,简装,低楼层(共19层) ,暂无数据,板塔结合,1799,118247.0,和平里,20人关注,2个月以前发布
和平新城一期 ,3室1厅,158.45,东南,精装,低楼层(共20层) ,暂无数据,板塔结合,1920,121174.0,和平里,3人关注,25天以前发布
和平新城一期 ,3室2厅,152.14,东南,精装,中楼层(共19层) ,暂无数据,板塔结合,1880,123571.0,和平里,20人关注,7个月以前发布
海晟名苑南区 ,2室1厅,94.05,西,精装,中楼层(共17层) ,暂无数据,板塔结合,1400,148857.0,工体,18人关注,2个月以前发布
禄米仓胡同 ,3室1厅,94.83,南 北,其他,中楼层(共6层) ,暂无数据,板楼,1170,123379.0,朝阳门内,10人关注,4个月以前发布
安外东河沿 ,3室1厅,99.17,南 北,其他,底层(共16层) ,暂无数据,塔楼,1300,131089.0,安定门,2人关注,10天以前发布
华龙美晟 ,3室2厅,100.53,东南,精装,低楼层(共12层) ,暂无数据,板塔结合,828,82364.0,永定门,155人关注,8个月以前发布
普渡寺前巷 ,3室1厅,91.69,南 北,简装,底层(共1层) ,暂无数据,板楼,1550,169048.0,东单,8人关注,20天以前发布
富莱茵花园 ,3室1厅,91.08,东 南 北,简装,低楼层(共21层) ,暂无数据,塔楼,599,65767.0,永定门,15人关注,3个月以前发布
景泰西里西区 ,2室1厅,90.7,东 西,精装,11层 ,暂无数据,板塔结合,645,71114.0,永定门,8人关注,9个月以前发布
安外西河沿路2号院 ,2室1厅,92.17,南,精装,低楼层(共8层) ,暂无数据,板塔结合,1220,132365.0,安定门,13人关注,3个月以前发布
西营房 ,3室1厅,99.01,南,简装,低楼层(共16层) ,暂无数据,塔楼,1000,101000.0,安定门,13人关注,1个月以前发布
西营房 ,3室1厅,102.41,东 南 北,精装,低楼层(共19层) ,暂无数据,塔楼,899,87785.0,安定门,63人关注,3个月以前发布
安外西河沿路1号院 ,3室1厅,104.98,南 北,毛坯,中楼层(共21层) ,暂无数据,板塔结合,1490,141932.0,安定门,5人关注,24天以前发布
天天家园 ,2室1厅,100.82,西,简装,11层 ,暂无数据,塔楼,720,71415.0,永定门,8人关注,1个月以前发布
华龙美晟 ,3室2厅,108.46,南 北,其他,中楼层(共12层) ,暂无数据,板塔结合,899,82888.0,永定门,5人关注,5天以前发布
雍和家园一期 ,3室2厅,158.28,西南,简装,低楼层(共16层),2001年,板塔结合,1650,104246.0,和平里,56人关注,一年前发布
雍和家园一期 ,3室1厅,179.48,南 北,精装,高楼层(共16层),2001年,塔楼,2080,115891.0,和平里,65人关注,5个月以前发布
青年湖北里 ,3室1厅,98.71,南 北,简装,低楼层(共10层) ,暂无数据,板塔结合,960,97255.0,安定门,19人关注,1个月以前发布
望坛新苑 ,3室1厅,102.8,南,其他,11层 ,暂无数据,板楼,950,92413.0,永定门,13人关注,28天以前发布
东中街 ,3室2厅,94.11,南 北,简装,地下室(共6层) ,暂无数据,板楼,490,52067.0,东直门,2人关注,1个月以前发布
和平新城一期 ,3室1厅,152.14,东南,简装,中楼层(共19层) ,暂无数据,板塔结合,2140,140660.0,和平里,64人关注,一年前发布
长安太和 ,2室2厅,151.78,北,精装,低楼层(共24层),2012年,板楼,1420,93557.0,建国门内,2人关注,16天以前发布
万国城MOMA ,2室1厅,99.8,东,精装,中楼层(共24层),2007年,塔楼,1030,103207.0,东直门,24人关注,2个月以前发布
当代MOMA ,3室2厅,179.19,西南,其他,高楼层(共20层) ,暂无数据,塔楼,2050,114404.0,东直门,1人关注,3天以前发布
中海紫御公馆 ,2室2厅,91.86,南,精装,低楼层(共22层) ,暂无数据,板塔结合,1119,121816.0,陶然亭,65人关注,一年前发布
雍和家园一期 ,3室2厅,171.06,东南,简装,顶层(共16层) ,暂无数据,板塔结合,1755,102596.0,和平里,9人关注,13天以前发布
小取灯胡同8号院 ,3室1厅,93.73,南 北,其他,中楼层(共4层) ,暂无数据,板楼,1180,125894.0,东四,61人关注,一年前发布
当代MOMA ,3室2厅,151.59,南,精装,低楼层(共3层),2008年,板楼,2100,138532.0,东直门,25人关注,9个月以前发布
光明楼 ,3室1厅,92.27,南 北,精装,中楼层(共7层) ,暂无数据,板楼,980,106211.0,广渠门,5人关注,14天以前发布
海运仓小区 ,3室1厅,105.24,南 北,精装,高楼层(共9层) ,暂无数据,板塔结合,1180,112125.0,东直门,45人关注,8个月以前发布
望陶园小区 ,3室1厅,102.83,东 南 北,精装,低楼层(共18层) ,暂无数据,塔楼,750,72936.0,永定门,15人关注,7个月以前发布
禾风相府 ,3室2厅,163.81,南 北,简装,低楼层(共14层) ,暂无数据,板塔结合,1998,121971.0,金宝街,26人关注,2个月以前发布
东方财富 ,3室1厅,173.12,东南 西南,简装,中楼层(共15层),2006年,塔楼,1460,84335.0,广渠门,2人关注,6个月以前发布
当代MOMA ,2室2厅,151.51,南 西,精装,高楼层(共21层),2008年,塔楼,1950,128705.0,东直门,6人关注,1个月以前发布
青年湖南街 ,3室1厅,96.37,南 北,精装,顶层(共6层) ,暂无数据,板楼,1108,114974.0,安定门,6人关注,29天以前发布
新景家园东区 ,2室1厅,102.13,南 北,精装,中楼层(共12层) ,暂无数据,板塔结合,1268,124156.0,崇文门,7人关注,1个月以前发布
芳嘉园胡同 ,3室1厅,91.17,南 北,精装,顶层(共6层) ,暂无数据,板楼,849,93123.0,朝阳门内,8人关注,5个月以前发布
东环居苑 ,2室1厅,99.23,东南,精装,中楼层(共18层) ,暂无数据,塔楼,860,86668.0,广渠门,7人关注,3个月以前发布
宝润苑 ,3室2厅,196.46,东 西,精装,中楼层(共14层),1998年,塔楼,1498,76250.0,东花市,0人关注,21天以前发布
新世界中心 ,3室2厅,197.69,东南,精装,16层,1998年,塔楼,1180,59690.0,崇文门,11人关注,4个月以前发布
左安浦园 ,2室1厅,91.78,西北,简装,中楼层(共18层),2004年,板楼,690,75180.0,左安门,6人关注,1个月以前发布
新景家园东区 ,3室1厅,92.72,南,精装,底层(共12层) ,暂无数据,板楼,1018,109793.0,崇文门,4人关注,1个月以前发布
世纪大厦 ,2室1厅,104.45,东,精装,中楼层(共11层) ,暂无数据,板楼,625,59838.0,灯市口,26人关注,一年前发布
保利蔷薇 ,2室1厅,92.67,西,其他,中楼层(共16层),2007年,板塔结合,880,94961.0,广渠门,83人关注,4个月以前发布
广渠门外南街 ,3室1厅,90.13,西南,精装,低楼层(共12层) ,暂无数据,板塔结合,830,92090.0,广渠门,12人关注,7个月以前发布
金世纪嘉园 ,2室1厅,91.39,南 西南 北,精装,高楼层(共21层),2007年,塔楼,898,98261.0,广渠门,12人关注,21天以前发布
富贵园一区 ,3室2厅,166.55,南 北,简装,中楼层(共9层) ,暂无数据,板楼,1830,109877.0,东花市,49人关注,6个月以前发布
菊儿胡同 ,3室1厅,106.94,南 北,简装,底层(共4层) ,暂无数据,板楼,1230,115018.0,地安门,19人关注,1个月以前发布
保利蔷薇 ,2室1厅,95.14,东,精装,低楼层(共16层),2007年,板塔结合,899,94493.0,广渠门,99人关注,9个月以前发布
水上华城 ,3室2厅,165.81,南 北,其他,高楼层(共23层),2005年,板楼,1880,113383.0,广渠门,7人关注,23天以前发布
贡院九号 ,3室1厅,177.19,西南,简装,低楼层(共18层),2000年,板塔结合,1550,87477.0,建国门内,34人关注,8个月以前发布
贡院九号 ,2室1厅,160.36,南,精装,低楼层(共18层),2000年,板塔结合,1600,99776.0,建国门内,7人关注,1个月以前发布
崇文门东大街 ,3室1厅,104.98,南 北,简装,17层 ,暂无数据,塔楼,888,84588.0,崇文门,9人关注,2个月以前发布
民旺园十九号院 ,2室1厅,104.4,南 北,简装,中楼层(共7层) ,暂无数据,板楼,1025,98181.0,和平里,2人关注,30天以前发布
官书院 ,2室1厅,100.09,南 北,精装,底层(共6层) ,暂无数据,板楼,1350,134879.0,安定门,2人关注,14天以前发布
和平里中街3号院 ,3室1厅,95.05,东 南 北,精装,中楼层(共20层),2007年,塔楼,1199,126145.0,和平里,99人关注,2个月以前发布
