title,house_type,area,orientation,decoration,floor,year_built,building_type,price,price_per_m,position,followers,publish_time
时雨园 ,2室1厅,103.95,西南,精装,高楼层(共19层) ,暂无数据,塔楼,1280.0,123137.0,世纪城,7人关注,28天以前发布
观山园 ,3室2厅,172.63,南 北,精装,高楼层(共11层) ,暂无数据,板楼,2350.0,136130.0,世纪城,15人关注,1个月以前发布
垂虹园 ,3室1厅,172.34,东南,简装,中楼层(共18层) ,暂无数据,塔楼,1880.0,109087.0,世纪城,7人关注,5个月以前发布
垂虹园 ,3室2厅,164.15,东南,简装,中楼层(共18层) ,暂无数据,塔楼,1680.0,102346.0,世纪城,19人关注,5个月以前发布
晨月园 ,2室2厅,98.38,西南,精装,中楼层(共17层),2007年,塔楼,830.0,84367.0,世纪城,2人关注,1个月以前发布
世纪金源国际公寓 ,2室1厅,157.93,西南,精装,中楼层(共13层),2002年,塔楼,1050.0,66486.0,世纪城,1人关注,3个月以前发布
远大园四区 ,2室1厅,91.52,东南 南,精装,中楼层(共16层),2000年,塔楼,930.0,101618.0,世纪城,67人关注,5个月以前发布
远大园六区 ,1室1厅,51.88,南 北,精装,中楼层(共6层) ,暂无数据,板楼,510.0,98304.0,世纪城,23人关注,3个月以前发布
远大园六区 ,1室1厅,51.88,南 北,简装,中楼层(共6层),2000年,板楼,550.0,106014.0,世纪城,7人关注,3个月以前发布
远大园六区 ,1室1厅,51.88,南 北,简装,中楼层(共6层) ,暂无数据,板楼,510.0,98304.0,世纪城,18人关注,4个月以前发布
远大园五区 ,4室2厅,176.82,南 北,精装,低楼层(共15层) ,暂无数据,板楼,1680.0,95012.0,世纪城,25人关注,3个月以前发布
晨月园 ,2室2厅,82.14,西南,精装,高楼层(共17层),2007年,塔楼,799.0,97273.0,世纪城,7人关注,16天以前发布
晨月园 ,2室1厅,77.67,西南,精装,低楼层(共17层),2007年,塔楼,785.0,101069.0,世纪城,4人关注,8天以前发布
晨月园 ,2室1厅,82.21,西南,简装,中楼层(共17层),2007年,塔楼,780.0,94879.0,世纪城,38人关注,2个月以前发布
时雨园 ,2室1厅,86.27,南,其他,低楼层(共12层),2005年,板楼,1090.0,126348.0,世纪城,23人关注,2个月以前发布
远大园四区 ,2室1厅,85.81,南,简装,低楼层(共16层),2000年,塔楼,760.0,88568.0,世纪城,13人关注,25天以前发布
晨月园 ,2室1厅,82.14,东南,其他,低楼层(共17层),2007年,塔楼,800.0,97395.0,世纪城,12人关注,3个月以前发布
晨月园 ,2室1厅,76.61,东南,精装,低楼层(共17层),2007年,塔楼,770.0,100510.0,世纪城,9人关注,29天以前发布
远大园三区 ,4室2厅,184.73,西南 北,简装,高楼层(共14层) ,暂无数据,板楼,2050.0,110973.0,世纪城,25人关注,一年前发布
晴波园 ,2室2厅,119.25,南 北,精装,顶层(共13层) ,暂无数据,板楼,1700.0,142558.0,世纪城,3人关注,9天以前发布
时雨园 ,3室1厅,143.83,东南,精装,顶层(共19层) ,暂无数据,板塔结合,1299.0,90315.0,世纪城,6人关注,26天以前发布
晴雪园 ,3室2厅,125.43,南 北,精装,低楼层(共11层) ,暂无数据,板楼,1670.0,133142.0,世纪城,20人关注,28天以前发布
晨月园 ,2室1厅,89.58,西南,简装,低楼层(共17层),2007年,塔楼,810.0,90422.0,世纪城,40人关注,2个月以前发布
垂虹园 ,2室2厅,121.32,西南,简装,低楼层(共18层) ,暂无数据,塔楼,1250.0,103034.0,世纪城,2人关注,10天以前发布
时雨园 ,3室1厅,130.68,西南,简装,中楼层(共19层),2005年,塔楼,1630.0,124733.0,世纪城,48人关注,一年前发布
观山园 ,2室2厅,122.07,南 北,精装,顶层(共11层) ,暂无数据,板楼,1820.0,149095.0,世纪城,8人关注,1个月以前发布
晨月园 ,2室1厅,89.21,南,简装,顶层(共17层),2007年,塔楼,820.0,91918.0,世纪城,9人关注,8个月以前发布
晨月园 ,2室1厅,89.21,南,精装,中楼层(共17层),2007年,塔楼,915.0,102567.0,世纪城,4人关注,一年前发布
晨月园 ,2室1厅,89.21,南,简装,高楼层(共17层),2007年,塔楼,820.0,91918.0,世纪城,8人关注,7个月以前发布
翠叠园 ,2室2厅,128.72,南 北,精装,低楼层(共13层) ,暂无数据,板楼,1580.0,122748.0,世纪城,28人关注,5个月以前发布
垂虹园 ,2室2厅,121.68,东南,精装,低楼层(共18层) ,暂无数据,塔楼,1299.0,106756.0,世纪城,11人关注,3个月以前发布
春荫园 ,3室1厅,113.84,南 北,精装,顶层(共12层) ,暂无数据,板楼,1380.0,121223.0,世纪城,16人关注,4个月以前发布
晴雪园 ,3室2厅,124.37,南 北,精装,中楼层(共12层),2005年,板楼,1850.0,148750.0,世纪城,22人关注,6个月以前发布
远大园五区 ,3室1厅,137.34,西南,精装,低楼层(共16层),2001年,塔楼,1398.0,101792.0,世纪城,6人关注,11天以前发布
时雨园 ,2室1厅,67.49,东南,精装,顶层(共19层),2005年,塔楼,939.0,139132.0,世纪城,6人关注,一年前发布
晴雪园 ,3室2厅,123.18,南 北,精装,顶层(共9层) ,暂无数据,板楼,1730.0,140445.0,世纪城,44人关注,一年前发布
