title,house_type,area,orientation,decoration,floor,year_built,building_type,price,price_per_m,position,followers,publish_time
海运仓小区 ,3室1厅,93.86平米,东北,其他,底层(共6层) ,板楼,,920,"98,019元/平",东直门,12人关注,3个月以前发布
花市枣苑三期 ,2室1厅,94.07平米,东 北,简装,中楼层(共17层) ,塔楼,,1050,"111,620元/平",东花市,3人关注,1个月以前发布
新景家园东区 ,3室1厅,90.65平米,南 北,精装,中楼层(共16层) ,板楼,,995,"109,763元/平",崇文门,7人关注,1个月以前发布
安馨园 ,3室1厅,162.17平米,北 南,精装,中楼层(共6层) ,板楼,,2500,"154,160元/平",安定门,3人关注,12天以前发布
新裕家园 ,2室1厅,102.06平米,南 北,简装,顶层(共17层) ,板楼,,1280,"125,417元/平",崇文门,46人关注,8个月以前发布
天利园 ,2室1厅,90.58平米,南 北,简装,低楼层(共16层),2003年,板塔结合,1023,"112,939元/平",广渠门,19人关注,一年前发布
万国城MOMA ,2室1厅,91.98平米,西北,精装,底层(共26层) ,板塔结合,,1200,"130,464元/平",东直门,17人关注,6个月以前发布
新怡家园 ,3室2厅,177.91平米,南 北,精装,低楼层(共15层) ,板楼,,2560,"143,893元/平",崇文门,12人关注,2个月以前发布
法华南里 ,3室1厅,166.07平米,南 北,简装,中楼层(共6层),1996年,板楼,1350,"81,292元/平",崇文门,41人关注,7个月以前发布
望坛新苑 ,3室1厅,98.85平米,南 北,精装,10层 ,板楼,,870,"88,013元/平",永定门,47人关注,1个月以前发布
水上华城 ,3室2厅,197.85平米,东南,精装,高楼层(共24层) ,板塔结合,,1950,"98,560元/平",广渠门,26人关注,5个月以前发布
东花市北里中区 ,2室2厅,101.83平米,南 北,精装,高楼层(共6层) ,板楼,,899,"88,285元/平",东花市,10人关注,一年前发布
体育馆路13号 ,3室1厅,101.38平米,南 北,其他,高楼层(共6层) ,板楼,,1050,"103,571元/平",崇文门,19人关注,9个月以前发布
新世界家园 ,2室1厅,108.78平米,西,其他,底层(共9层) ,板楼,,1370,"125,943元/平",崇文门,12人关注,6个月以前发布
新景家园东区 ,2室1厅,94.88平米,东南,精装,中楼层(共15层) ,板塔结合,,950,"100,127元/平",崇文门,16人关注,5个月以前发布
东环居苑 ,3室1厅,97.58平米,东北,精装,顶层(共18层),2004年,塔楼,880,"90,183元/平",广渠门,44人关注,一年前发布
景泰西里西区 ,2室1厅,90.56平米,东 西,精装,11层 ,板塔结合,,600,"66,255元/平",永定门,14人关注,一年前发布
华龙美晟 ,2室1厅,91.9平米,东,精装,中楼层(共12层) ,板塔结合,,699,"76,061元/平",永定门,41人关注,11个月以前发布
鸿运花园 ,3室2厅,164.08平米,南 北,精装,底层(共6层),1996年,板楼,1600,"97,514元/平",左安门,66人关注,一年前发布
兴隆都市馨园 ,3室2厅,95.24平米,南 北,其他,高楼层(共7层),2004年,板楼,1000,"104,998元/平",崇文门,2人关注,17天以前发布
豆瓣胡同 ,3室2厅,108.14平米,东南,精装,中楼层(共10层) ,板楼,,1378,"127,428元/平",朝阳门内,10人关注,1个月以前发布
水上华城 ,3室2厅,165.81平米,南 北,精装,高楼层(共23层),2005年,板楼,1880,"113,383元/平",广渠门,72人关注,一年前发布
朝阳门内大街75号院 ,3室1厅,96.08平米,南 北,简装,中楼层(共6层) ,板楼,,1150,"119,692元/平",朝阳门内,4人关注,15天以前发布
北京INN ,2室1厅,103.53平米,北,毛坯,顶层(共2层) ,板塔结合,,490,"47,330元/平",朝阳门内,2人关注,15天以前发布
巷上嘉园 ,2室1厅,96.6平米,西南,精装,中楼层(共24层) ,塔楼,,1130,"116,978元/平",安定门,5人关注,2个月以前发布
冠城名敦道A区 ,2室1厅,93.27平米,西,简装,23层,2010年,塔楼,489,"52,429元/平",广渠门,2人关注,14天以前发布
巷上嘉园 ,2室2厅,99.27平米,东南,简装,中楼层(共24层),2005年,塔楼,1270,"127,934元/平",安定门,3人关注,6个月以前发布
朝内大街136号院 ,3室1厅,92.73平米,南,其他,16层 ,塔楼,,999,"107,733元/平",朝阳门内,5人关注,1个月以前发布
东四块玉南街4号院 ,3室2厅,154.79平米,东 西,其他,中楼层(共7层) ,板楼,,1498,"96,777元/平",左安门,15人关注,5个月以前发布
北京上舍 ,2室1厅,105.09平米,西,精装,中楼层(共15层) ,塔楼,,1000,"95,157元/平",广渠门,16人关注,4个月以前发布
华龙美晟 ,2室1厅,91.9平米,东,精装,中楼层(共12层) ,板塔结合,,699,"76,061元/平",永定门,41人关注,11个月以前发布
三秀涵雅 ,3室1厅,165.86平米,南,精装,低楼层(共18层) ,塔楼,,1620,"97,673元/平",安定门,11人关注,2个月以前发布
三秀涵雅 ,2室1厅,106.9平米,东 北 南,精装,低楼层(共18层) ,塔楼,,850,"79,514元/平",安定门,8人关注,1个月以前发布
和平里五区 ,3室2厅,92.68平米,南 北,精装,顶层(共6层) ,板楼,,808,"87,182元/平",和平里,3人关注,8天以前发布
三秀涵雅 ,3室1厅,164.64平米,南,精装,低楼层(共18层) ,塔楼,,1600,"97,182元/平",安定门,2人关注,3天以前发布
民安小区东扬威街 ,3室1厅,105.24平米,南 西 北,简装,中楼层(共11层) ,塔楼,,950,"90,270元/平",东直门,15人关注,1个月以前发布
民安小区东扬威街 ,3室1厅,103.29平米,南 北,其他,低楼层(共16层) ,塔楼,,993,"96,138元/平",东直门,10人关注,3个月以前发布
新奥洋房 ,3室1厅,104.37平米,南 北,简装,6层 ,板塔结合,,830,"79,525元/平",永定门,17人关注,2个月以前发布
华普花园 ,3室1厅,176.03平米,东,其他,中楼层(共22层) ,塔楼,,1230,"69,875元/平",东直门,7人关注,1个月以前发布
太华公寓 ,2室1厅,152.62平米,南,精装,高楼层(共17层),2000年,塔楼,1280,"83,869元/平",崇文门,14人关注,一年前发布
天利园 ,2室1厅,101.78平米,南 北,精装,中楼层(共16层),2003年,板塔结合,1120,"110,042元/平",广渠门,1人关注,3个月以前发布
西革新里108号院 ,2室1厅,92.49平米,南 北,简装,高楼层(共6层) ,板楼,,620,"67,035元/平",永定门,18人关注,一年前发布
东环居苑 ,3室1厅,99.52平米,东 北,精装,低楼层(共22层),2004年,塔楼,935,"93,951元/平",广渠门,33人关注,9个月以前发布
朝内大街136号院 ,3室1厅,92.73平米,南,其他,16层 ,塔楼,,999,"107,733元/平",朝阳门内,5人关注,1个月以前发布
和平里五区 ,3室2厅,92.68平米,南 北,精装,顶层(共6层) ,板楼,,808,"87,182元/平",和平里,3人关注,8天以前发布
巷上嘉园 ,2室2厅,99.27平米,东南,简装,中楼层(共24层),2005年,塔楼,1270,"127,934元/平",安定门,3人关注,6个月以前发布
巷上嘉园 ,2室1厅,96.6平米,西南,精装,中楼层(共24层) ,塔楼,,1130,"116,978元/平",安定门,5人关注,2个月以前发布
三秀涵雅 ,3室1厅,164.64平米,南,精装,低楼层(共18层) ,塔楼,,1600,"97,182元/平",安定门,2人关注,3天以前发布
东四块玉南街4号院 ,3室2厅,154.79平米,东 西,其他,中楼层(共7层) ,板楼,,1498,"96,777元/平",左安门,15人关注,5个月以前发布
三秀涵雅 ,2室1厅,106.9平米,东 北 南,精装,低楼层(共18层) ,塔楼,,850,"79,514元/平",安定门,8人关注,1个月以前发布
三秀涵雅 ,3室1厅,165.86平米,南,精装,低楼层(共18层) ,塔楼,,1620,"97,673元/平",安定门,11人关注,2个月以前发布
